,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,year,address_expand,location_expand,name_expand
2234,Schweizerische Gesellschaft für Allergologie und Immunologie SSAI,Bern,CH,Scheibenstrasse 20,,,,4970.0,,,,,4970.0,hco,menarini,2017,scheibenstrasse 20,bern, allergologie und immunologie ssai
6536,"Schweizerische Gesellschaft für Allergologie und Immunologie, SGAI",Bern,CH,Scheibenstrasse 20,,,,18200.0,,,,,18200.0,hco,menarini,2016,scheibenstrasse 20,bern," allergologie und immunologie, sgai"
881,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Bern,CH,Monbijoustrasse 43,3011,1057207285,0.0,71000.0,0.0,0.0,0.0,0.0,71000.0,hco,bayer,2017,monbijoustrasse 43,bern, allgemeine innere medizin
2670,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Bern,CH,Monbijoustrasse 43,,,5940.0,,,,,,5940.0,hco,mundipharma,2017,monbijoustrasse 43,bern, allgemeine innere medizin
3803,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Solothurnerstrasse 68,4002,SGIMBVRBasel,,31054.0,,,,,31054.0,hco,servier,2017,solothurnerstrasse 68,basel, allgemeine innere medizin
11700,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Solothumerstrasse 68,,,0.0,24340.0,0.0,0.0,0.0,0.0,24340.0,hco,takeda,2015,solothumerstrasse 68,basel, allgemeine innere medizin
9708,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Solothurnerstrass e 68,,,0.0,30780.0,0.0,0.0,0.0,0.0,30780.0,hco,eli,2015,solothurnerstrass east 68,basel, allgemeine innere medizin
10588,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Monbijoustrasse 43,,,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,hco,mundipharma,2015,monbijoustrasse 43,basel, allgemeine innere medizin
11922,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Postfach,,,0.0,26950.0,0.0,0.0,0.0,0.0,26950.0,hco,vifor,2015,postfach,basel, allgemeine innere medizin
6909,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Monbijoustrasse 43,,,2400.0,0.0,0.0,0.0,0.0,0.0,2400.0,hco,mundipharma,2016,monbijoustrasse 43,basel, allgemeine innere medizin
11464,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Solothurnerstrasse 68,,,0.0,12250.0,0.0,0.0,0.0,0.0,12250.0,hco,servier,2015,solothurnerstrasse 68,basel, allgemeine innere medizin
5434,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,3011,,0.0,2940.0,0.0,0.0,0.0,0.0,2940.0,hco,boehringer,2016,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim)
2986,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,0.0,109840.0,0.0,0.0,890.0,0.0,110730.0,hco,novartis,2017,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim)
4965,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Basel,CH,Monbijoustrasse 43,,,,6860.0,,,,,6860.0,hco,astrazeneca,2016,monbijoustrasse 43,basel, allgemeine innere medizin (sgaim)
6118,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),BERN,CH,Monbijoustrasse 43,,,0.0,15876.0,0.0,0.0,0.0,0.0,15876.0,hco,glaxosmithkline,2016,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim)
215,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrass 43,3000,,,3200.0,,,,,3200.0,hco,allergan,2017,monbijoustrass 43,bern, allgemeine innere medizin (sgaim)
8616,Schweizerische Gesellschaft für Allgemeine Innere Medizin SGAIM,Basel,CH,Solothurnerstrasse 68,,,116601.0,0.0,0.0,0.0,0.0,0.0,116601.0,hco,menarini,2015,solothurnerstrasse 68,basel, allgemeine innere medizin sgaim
2246,Schweizerische Gesellschaft für Allgemeine Innere Medizin SGAIM,Bern,CH,Monbijoustrasse 43,,,94904.0,67984.0,,,,,162888.0,hco,menarini,2017,monbijoustrasse 43,bern, allgemeine innere medizin sgaim
6702,"Schweizerische Gesellschaft für Allgemeine Innere Medizin, SGAIM",Bern,CH,Monbijoustrasse 43,,,,15680.0,,,,,15680.0,hco,mepha,2016,monbijoustrasse 43,bern," allgemeine innere medizin, sgaim"
7921,"Schweizerische Gesellschaft für Allgemeine Medizin, SGAM/SSMG",Courfaivre,CH,Rue de la Faverge 21,,,,6074.0,,,,,6074.0,hco,servier,2016,rue de la faverge 21,courfaivre," allgemeine medizin, sgam/ssmg"
2318,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,16820.0,,,,,16820.0,hco,mepha,2017,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim)
2317,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,12420.0,,,,,12420.0,hco,mepha,2017,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim)
1784,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,0.0,15897.6,0.0,0.0,0.0,0.0,15897.6,hco,glaxosmithkline,2017,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim)
9917,Schweizerische Gesellschaft für Allgemeinmedizin (SGAM),Lichtensteig,CH,Oberplattenstrasse 73,,,0.0,34300.8,0.0,0.0,0.0,0.0,34300.8,hco,glaxosmithkline,2015,oberplattenstrasse 73,lichtensteig, allgemeinmedizin (sgam)
11354,Schweizerische Gesellschaft für Angst & Depression (SGAD),Zürich,CH,Hermetschloostrasse 73,,,2250.0,0.0,0.0,0.0,0.0,0.0,2250.0,hco,sandoz,2015,hermetschloostrasse 73,zuerich, angst & depression (sgad)
9709,Schweizerische Gesellschaft für Angst und Depression,Zürich,CH,Hermetschloostrasse 73,,,0.0,3867.0,0.0,0.0,0.0,0.0,3867.0,hco,eli,2015,hermetschloostrasse 73,zuerich, angst und depression
9088,Schweizerische Gesellschaft für Angst und Depression,Zürich,CH,Hermetschloostrasse 73,8048,,0.0,2250.0,0.0,0.0,0.0,0.0,2250.0,hco,astrazeneca,2015,hermetschloostrasse 73,zuerich, angst und depression
6411,Schweizerische Gesellschaft für Anst und Depression,Zürich,CH,Hermetschloostrass 73,,,,4000.0,,,,,4000.0,hco,lundbeck,2016,hermetschloostrass 73,zuerich, anst und depression
7287,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210,,2160.0,,,,,2160.0,4320.0,hco,orion,2016,bahnhofstrasse 7b,sursee, anästhesiepflege
10906,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210,,0.0,2840.0,0.0,0.0,0.0,0.0,2840.0,hco,orion,2015,bahnhofstrasse 7b,sursee, anästhesiepflege
3179,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210,,,2280.0,,,,,2280.0,hco,orion,2017,bahnhofstrasse 7b,sursee, anästhesiepflege
882,Schweizerische Gesellschaft für Anästhesiologie und Reanimation,Bern,CH,Rabbentalstrasse 83,3013,40519842,0.0,36080.0,0.0,0.0,0.0,0.0,36080.0,hco,bayer,2017,rabbentalstrasse 83,bern, anästhesiologie und reanimation
1308,Schweizerische Gesellschaft für Anästhesiologie und Reanimation,Bern,CH,Rabbentalstrasse 83,,,,5040.0,,,,,5040.0,hco,csl,2017,rabbentalstrasse 83,bern, anästhesiologie und reanimation
11701,Schweizerische Gesellschaft für Arzneimittelsicher,Zürich,CH,Stadelhoferstrasse 42,,,100000.0,6800.0,0.0,0.0,0.0,0.0,106800.0,hco,takeda,2015,stadelhoferstrasse 42,zuerich, arzneimittelsicher
5855,Schweizerische Gesellschaft für Arzneimittelsicher heit in der Psychiatrie,Zürich,CH,Stadelhoferstrass e 42,,,,1000.0,,,,,1000.0,hco,eli,2016,stadelhoferstrass e 42,zuerich, arzneimittelsicher heit in der psychiatrie
1508,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie,Zürich,CH,Stadelhoferstrasse 42,,,,1000.0,,,,,1000.0,hco,eli,2017,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie
7366,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,CH,Stadelhoferstrasse 42,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,otsuka,2016,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie (sgamps)
3216,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,CH,Stadelhoferstrasse 42,,,,1000.0,,,,,1000.0,hco,otsuka,2017,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie (sgamps)
10940,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,CH,Stadelhoferstrasse 42,,,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,hco,otsuka,2015,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie (sgamps)
2091,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMSP),Aarburg,CH,Postfach 100,,,,5000.0,,,,,5000.0,hco,lundbeck,2017,postfach 100,aarburg, arzneimittelsicherheit in der psychiatrie (sgamsp)
3804,Schweizerische Gesellschaft für Biologische Psychiatrie,Prilly-Lausanne,CH,"CHUV, Departement of Psychiatry,
Route de Cery",1008,SchweizerischeGesellschaftBiologischePsychiatrieBasel,,1500.0,,,,,1500.0,hco,servier,2017,chuv departement of psychiatryroute de cery,prilly-lausanne, biologische psychiatrie
11465,Schweizerische Gesellschaft für Biologische Psychiatrie,Basel,CH,,,,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,hco,servier,2015,nan,basel, biologische psychiatrie
2092,Schweizerische Gesellschaft für Biologische Psychiatrie,Solothurn,CH,Weissensteinstrasse 102,,,,2500.0,,,,,2500.0,hco,lundbeck,2017,weissensteinstrasse 102,solothurn, biologische psychiatrie
8099,Schweizerische Gesellschaft für Chirurgie - Société suisse de Chirurgie,Aarau,CH,Bahnhofstrasse 55,,,,5300.0,,,,,5300.0,hco,takeda,2016,bahnhofstrasse 55,aarau, chirurgie - société suisse de chirurgie
5605,Schweizerische Gesellschaft für Cystische Fibrose,Bern,CH,Altenbergstrasse 29,,,,1000.0,,,,,1000.0,hco,csl,2016,altenbergstrasse 29,bern, cystische fibrose
9534,Schweizerische Gesellschaft für Cystische Fibrose,Bern,CH,,,,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,hco,csl,2015,nan,bern, cystische fibrose
4075,Schweizerische Gesellschaft für Cystische Fibrose (CFCH),Bern,CH,Altenbergstrasse 29,,,,4000.0,,,,,4000.0,hco,teva,2017,altenbergstrasse 29,bern, cystische fibrose (cfch)
8385,Schweizerische Gesellschaft für Cystische Fibrose (CFCH),Bern,CH,Altenbergstrasse 29 Postfach 686,,,,16365.0,,,,,16365.0,hco,vifor,2016,altenbergstrasse 29 postfach 686,bern, cystische fibrose (cfch)
216,Schweizerische Gesellschaft für Dermatologie und Venerologie,Bern,CH,Inselspital,3000,,,15000.0,,,,,15000.0,hco,allergan,2017,inselspital,bern, dermatologie und venerologie
9918,Schweizerische Gesellschaft für Dermatologie und Venerologie,Bern,CH,Dalmazirain 11,,,0.0,5400.0,0.0,0.0,0.0,0.0,5400.0,hco,glaxosmithkline,2015,dalmazirain 11,bern, dermatologie und venerologie
1509,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,90065.0,,,50000.0,,140065.0,hco,eli,2017,dalmazirain 11,bern, dermatologie und venerologie (sgdv)
5856,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,46500.0,,,,,46500.0,hco,eli,2016,dalmazirain 11,bern, dermatologie und venerologie (sgdv)
11059,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,27000.0,0.0,0.0,0.0,0.0,27000.0,hco,pfizer,2015,dalmazirain 11,bern, dermatologie und venerologie (sgdv)
8736,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,20500.0,0.0,0.0,0.0,0.0,20500.0,hco,abbvie,2015,dalmazirain 11,bern, dermatologie und venerologie (sgdv)
4476,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,47100.0,,,,,47100.0,hco,abbvie,2016,dalmazirain 11,bern, dermatologie und venerologie (sgdv)
101,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,85500.0,,,,,85500.0,hco,abbvie,2017,dalmazirain 11,bern, dermatologie und venerologie (sgdv)
9710,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,16000.0,0.0,0.0,0.0,0.0,16000.0,hco,eli,2015,dalmazirain 11,bern, dermatologie und venerologie (sgdv)
2976,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV) Generalsekretariat,Bern,CH,Dalmazirain 11,,,100000.0,65200.0,0.0,0.0,2510.0,0.0,167710.0,hco,novartis,2017,dalmazirain 11,bern, dermatologie und venerologie (sgdv) generalsekretariat
8617,Schweizerische Gesellschaft für Dermatologie und Venerologie SGDV Jahresversammlung SGDV,Bern,CH,Dalmazirain 11,,,0.0,3300.0,0.0,0.0,0.0,0.0,3300.0,hco,menarini,2015,dalmazirain 11,bern, dermatologie und venerologie sgdv jahresversammlung sgdv
6537,"Schweizerische Gesellschaft für Dermatologie und Venerologie, SGDV",Bern,CH,Dalmazirain 11,,,,3450.0,,,,,3450.0,hco,menarini,2016,dalmazirain 11,bern," dermatologie und venerologie, sgdv"
1785,Schweizerische Gesellschaft für Dermatologieund Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,29528.0,0.0,0.0,0.0,0.0,29528.0,hco,glaxosmithkline,2017,dalmazirain 11,bern, dermatologieund venerologie (sgdv)
5730,Schweizerische Gesellschaft für Endokrin,Baden,CH,Rütistrasse 3A,,,,1813.34,,,,,1813.34,hco,eisai,2016,ruetistrasse 3a,baden, endokrin
7844,Schweizerische Gesellschaft für Endokrinologie and Diabetologie,Baden,CH,Rütistr. 3 a,,,,62100.0,,,,,62100.0,hco,sanofi,2016,ruetistrasse 3 allee,baden, endokrinologie and diabetologie
3131,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3A,,,55000.0,,,,,,55000.0,hco,novo,2017,ruetistrasse 3a,baden, endokrinologie und diabetologie
633,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3 A,,,0.0,55000.0,0.0,0.0,0.0,0.0,55000.0,hco,astrazeneca,2017,ruetistrasse 3 allee,baden, endokrinologie und diabetologie
4966,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3 A,,,,64300.0,,,,,64300.0,hco,astrazeneca,2016,ruetistrasse 3 allee,baden, endokrinologie und diabetologie
7265,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3a,,,100000.0,14000.0,,,,,114000.0,hco,novo,2016,ruetistrasse 3a,baden, endokrinologie und diabetologie
883,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3A,5400,40528710,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,hco,bayer,2017,ruetistrasse 3a,baden, endokrinologie und diabetologie
10868,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3a,,,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,hco,novo,2015,ruetistrasse 3a,baden, endokrinologie und diabetologie
2977,Schweizerische Gesellschaft für Endokrinologie und Diabetologie (SGED),Baden,CH,Rütistrasse 3A,,,0.0,2500.0,0.0,0.0,0.0,0.0,2500.0,hco,novartis,2017,ruetistrasse 3a,baden, endokrinologie und diabetologie (sged)
8386,Schweizerische Gesellschaft für Gastrenterologie SGG,Bern,CH,Wattenwylweg 21,,,,2500.0,,,,,2500.0,hco,vifor,2016,wattenwylweg 21,bern, gastrenterologie sgg
102,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,,75250.0,,,,,75250.0,hco,abbvie,2017,wattenwylweg 21,bern, gastroenterologie
11702,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,0.0,21124.0,0.0,0.0,0.0,0.0,21124.0,hco,takeda,2015,wattenwylweg 21,bern, gastroenterologie
8737,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,0.0,76750.0,0.0,0.0,0.0,0.0,76750.0,hco,abbvie,2015,wattenwylweg 21,bern, gastroenterologie
3979,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,3006,,0.0,8626.5,0.0,0.0,0.0,0.0,8626.5,hco,takeda,2017,wattenwylweg 21,bern, gastroenterologie
4477,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,,66250.0,,,,,66250.0,hco,abbvie,2016,wattenwylweg 21,bern, gastroenterologie
8100,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,,20481.8,,,,,20481.8,hco,takeda,2016,wattenwylweg 21,bern, gastroenterologie
9330,Schweizerische Gesellschaft für Gastroenterologie SGG,Bern,CH,,,,0.0,6156.0,0.0,0.0,0.0,0.0,6156.0,hco,bgp,2015,nan,bern, gastroenterologie sgg
217,Schweizerische Gesellschaft für Gastroenterologie SGG,Bern,CH,Laupenstrasse 7,3000,,,3100.0,,,,,3100.0,hco,allergan,2017,laupenstrasse 7,bern, gastroenterologie sgg
4374,Schweizerische Gesellschaft für Gastroenterologie SGG (Jahreskongress SGG - SGVC - SASL),Bern,CH,c/o Gkaufmann - Verbandmanagement & Kongressorganisation - Wattenwylweg 21,,,0.0,4104.0,0.0,0.0,0.0,0.0,4104.0,hco,zambon,2017,centreo gkaufmann  verbandmanagement en kongressorganisation wattenwylweg 21,bern, gastroenterologie sgg (jahreskongress sgg - sgvc - sasl)
5317,"Schweizerische Gesellschaft für Gastroenterologie SGG, vertreten durch gkaufmann",Bern,CH,Wattenwylweg 21,,,,6156.0,,,,,6156.0,hco,bgp,2016,wattenwylweg 21,bern," gastroenterologie sgg, vertreten durch gkaufmann"
11466,Schweizerische Gesellschaft für Gerontologie,Bern,CH,Schwanengasse 14,,,170.0,0.0,0.0,0.0,0.0,0.0,170.0,hco,servier,2015,schwanengasse 14,bern, gerontologie
7922,Schweizerische Gesellschaft für Gerontologie,Bern,CH,Schwanengasse 14,,,170.0,,,,,,170.0,hco,servier,2016,schwanengasse 14,bern, gerontologie
11060,Schweizerische Gesellschaft für Geschichte der Pharmazie SGGP,Basel,CH,Totengässlein 3,,,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,pfizer,2015,totengaesslein 3,basel, geschichte der pharmazie sggp
4967,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe,Bern,CH,Altenbergstrasse 29,,,,6350.0,,,,,6350.0,hco,astrazeneca,2016,altenbergstrasse 29,bern, gynäkologie und geburtshilfe
218,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe,Kreuzlingen,CH,Bernrainstrasse 19,8280,,,3500.0,,,,,3500.0,hco,allergan,2017,bernrainstrasse 19,kreuzlingen, gynäkologie und geburtshilfe
4371,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe (Jahreskongress),Gossau,CH,c/o BV Congress Creating GmbH,,,0.0,4233.6,0.0,0.0,0.0,0.0,4233.6,hco,zambon,2017,calleoffice bulevar congress creating gmbh,gossau, gynäkologie und geburtshilfe (jahreskongress)
11923,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe SGGG,Bern,CH,Altenbergstrasse 29 / Postfach 686,,,0.0,32358.0,0.0,0.0,0.0,0.0,32358.0,hco,vifor,2015,altenbergstrasse 29 postfach 686,bern, gynäkologie und geburtshilfe sggg
4030,Schweizerische Gesellschaft für Gynäkologieund Geburtshilfe,Bern,CH,,,,,19500.0,,,,,19500.0,hco,teva,2017,nan,bern, gynäkologieund geburtshilfe
4968,Schweizerische Gesellschaft für Herz- und thorakale Gefässchirurgie,Zürich,CH,Birmensdorferstrasse 497,,,,5000.0,,,,,5000.0,hco,astrazeneca,2016,birmensdorferstrasse 497,zuerich, herz- und thorakale gefässchirurgie
8618,Schweizerische Gesellschaft für Herz- und thorakale Gefässchirurgie SGHC,Bern,CH,Münstergasse 72,,,0.0,5373.0,0.0,0.0,0.0,0.0,5373.0,hco,menarini,2015,muenstergasse 72,bern, herz- und thorakale gefässchirurgie sghc
2235,Schweizerische Gesellschaft für Herz- und thorakale Gefässchirurgie SGHC,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,3175.0,,,,,3175.0,hco,menarini,2017,rue gabrielle-perret-gentil 4,geneve, herz- und thorakale gefässchirurgie sghc
5603,Schweizerische Gesellschaft für Herz- und thorakele Gefässchirurgie,Bern,CH,Münstergasse 72,,,,1530.0,,,,,1530.0,hco,csl,2016,muenstergasse 72,bern, herz- und thorakele gefässchirurgie
9132,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Giessenweg 37,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,baxalta,2015,innerer giessenweg 37,muensingen, hämatologie
2753,Schweizerische Gesellschaft für Hämatologie,Zürich,CH,Bahnhofplatz 4,,,1500.0,,,,,,1500.0,hco,mundipharma,2017,bahnhofplatz 4,zuerich, hämatologie
1338,Schweizerische Gesellschaft für Hämatologie,Zürich,CH,Bahnhofplatz 4,,,,3500.0,,,,,3500.0,hco,csl,2017,bahnhofplatz 4,zuerich, hämatologie
103,Schweizerische Gesellschaft für Hämatologie,Zürich,CH,Bahnhofplatz 4,,,,1500.0,,,,,1500.0,hco,abbvie,2017,bahnhofplatz 4,zuerich, hämatologie
10869,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Giessenweg 37,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,novo,2015,innerer giessenweg 37,muensingen, hämatologie
7266,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Giessenweg 37,,,,1000.0,,,,,1000.0,hco,novo,2016,innerer giessenweg 37,muensingen, hämatologie
5628,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Geissenweg,,,,500.0,,,,,500.0,hco,csl,2016,innerer geissenweg,muensingen, hämatologie
884,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Giessenweg 37,3110,40531250,0.0,9000.0,0.0,0.0,0.0,0.0,9000.0,hco,bayer,2017,innerer giessenweg 37,muensingen, hämatologie
3540,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,3110,,0.0,14000.0,0.0,0.0,0.0,0.0,14000.0,hco,roche,2017,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh)
7161,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,,,,52662.7,,,4000.0,,56662.7,hco,novartis,2016,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh)
11301,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,3110,,0.0,11000.0,0.0,0.0,0.0,0.0,11000.0,hco,roche,2015,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh)
2987,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,,,2000.0,11240.0,0.0,0.0,3320.0,0.0,16560.0,hco,novartis,2017,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh)
7705,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,,,0.0,13000.0,0.0,0.0,0.0,0.0,13000.0,hco,roche,2016,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh)
10769,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,,,2000.0,20000.0,0.0,0.0,0.0,0.0,22000.0,hco,novartis,2015,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh)
4813,Schweizerische Gesellschaft für Infektiologie,Bern,CH,SGInf Schw.Gesel. Infektiologie Freiburgstrasse 18,,,,19500.0,,,,,19500.0,hco,astellas,2016,sginf schw.gesel infektiologie freiburgstrasse 18,bern, infektiologie
