,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,year,address_expand,location_expand,name_expand,r_location,r_address,r_name
6099,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),BERN,CH,Monbijoustrasse 43,,,0.0,15876.0,0.0,0.0,0.0,0.0,15876.0,hco,glaxosmithkline,2016,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim),17,,
4946,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Basel,CH,Monbijoustrasse 43,,,,6860.0,,,,,6860.0,hco,astrazeneca,2016,monbijoustrasse 43,basel, allgemeine innere medizin (sgaim),46,,
215,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrass 43,3000,,,3200.0,,,,,3200.0,hco,allergan,2017,monbijoustrass 43,bern, allgemeine innere medizin (sgaim),17,,
8597,Schweizerische Gesellschaft für Allgemeine Innere Medizin SGAIM,Basel,CH,Solothurnerstrasse 68,,,116601.0,0.0,0.0,0.0,0.0,0.0,116601.0,hco,menarini,2015,solothurnerstrasse 68,basel, allgemeine innere medizin sgaim,46,,
2244,Schweizerische Gesellschaft für Allgemeine Innere Medizin SGAIM,Bern,CH,Monbijoustrasse 43,,,94904.0,67984.0,,,,,162888.0,hco,menarini,2017,monbijoustrasse 43,bern, allgemeine innere medizin sgaim,17,,
6683,"Schweizerische Gesellschaft für Allgemeine Innere Medizin, SGAIM",Bern,CH,Monbijoustrasse 43,,,,15680.0,,,,,15680.0,hco,mepha,2016,monbijoustrasse 43,bern," allgemeine innere medizin, sgaim",17,,
7902,"Schweizerische Gesellschaft für Allgemeine Medizin, SGAM/SSMG",Courfaivre,CH,Rue de la Faverge 21,,,,6074.0,,,,,6074.0,hco,servier,2016,rue de la faverge 21,courfaivre," allgemeine medizin, sgam/ssmg",33,,
2315,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,12420.0,,,,,12420.0,hco,mepha,2017,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim),17,,
2316,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,16820.0,,,,,16820.0,hco,mepha,2017,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim),17,,
1784,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,0.0,15897.6,0.0,0.0,0.0,0.0,15897.6,hco,glaxosmithkline,2017,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim),17,,
9898,Schweizerische Gesellschaft für Allgemeinmedizin (SGAM),Lichtensteig,CH,Oberplattenstrasse 73,,,0.0,34300.8,0.0,0.0,0.0,0.0,34300.8,hco,glaxosmithkline,2015,oberplattenstrasse 73,lichtensteig, allgemeinmedizin (sgam),30,,
11335,Schweizerische Gesellschaft für Angst & Depression (SGAD),Zürich,CH,Hermetschloostrasse 73,,,2250.0,0.0,0.0,0.0,0.0,0.0,2250.0,hco,sandoz,2015,hermetschloostrasse 73,zuerich, angst & depression (sgad),27,,
9069,Schweizerische Gesellschaft für Angst und Depression,Zürich,CH,Hermetschloostrasse 73,8048,,0.0,2250.0,0.0,0.0,0.0,0.0,2250.0,hco,astrazeneca,2015,hermetschloostrasse 73,zuerich, angst und depression,27,,
9690,Schweizerische Gesellschaft für Angst und Depression,Zürich,CH,Hermetschloostrasse 73,,,0.0,3867.0,0.0,0.0,0.0,0.0,3867.0,hco,eli,2015,hermetschloostrasse 73,zuerich, angst und depression,27,,
6392,Schweizerische Gesellschaft für Anst und Depression,Zürich,CH,Hermetschloostrass 73,,,,4000.0,,,,,4000.0,hco,lundbeck,2016,hermetschloostrass 73,zuerich, anst und depression,27,,
3160,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210,,,2280.0,,,,,2280.0,hco,orion,2017,bahnhofstrasse 7b,sursee, anästhesiepflege,43,,
10887,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210,,0.0,2840.0,0.0,0.0,0.0,0.0,2840.0,hco,orion,2015,bahnhofstrasse 7b,sursee, anästhesiepflege,43,,
7268,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210,,2160.0,,,,,2160.0,4320.0,hco,orion,2016,bahnhofstrasse 7b,sursee, anästhesiepflege,43,,
1308,Schweizerische Gesellschaft für Anästhesiologie und Reanimation,Bern,CH,Rabbentalstrasse 83,,,,5040.0,,,,,5040.0,hco,csl,2017,rabbentalstrasse 83,bern, anästhesiologie und reanimation,17,,
882,Schweizerische Gesellschaft für Anästhesiologie und Reanimation,Bern,CH,Rabbentalstrasse 83,3013,40519842,0.0,36080.0,0.0,0.0,0.0,0.0,36080.0,hco,bayer,2017,rabbentalstrasse 83,bern, anästhesiologie und reanimation,17,,
11682,Schweizerische Gesellschaft für Arzneimittelsicher,Zürich,CH,Stadelhoferstrasse 42,,,100000.0,6800.0,0.0,0.0,0.0,0.0,106800.0,hco,takeda,2015,stadelhoferstrasse 42,zuerich, arzneimittelsicher,27,,
5836,Schweizerische Gesellschaft für Arzneimittelsicher heit in der Psychiatrie,Zürich,CH,Stadelhoferstrass e 42,,,,1000.0,,,,,1000.0,hco,eli,2016,stadelhoferstrass e 42,zuerich, arzneimittelsicher heit in der psychiatrie,27,,
1508,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie,Zürich,CH,Stadelhoferstrasse 42,,,,1000.0,,,,,1000.0,hco,eli,2017,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie,27,,
3197,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,CH,Stadelhoferstrasse 42,,,,1000.0,,,,,1000.0,hco,otsuka,2017,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie (sgamps),27,,
7347,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,CH,Stadelhoferstrasse 42,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,otsuka,2016,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie (sgamps),27,,
10921,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,CH,Stadelhoferstrasse 42,,,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,hco,otsuka,2015,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie (sgamps),27,,
2091,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMSP),Aarburg,CH,Postfach 100,,,,5000.0,,,,,5000.0,hco,lundbeck,2017,postfach 100,aarburg, arzneimittelsicherheit in der psychiatrie (sgamsp),27,,
2092,Schweizerische Gesellschaft für Biologische Psychiatrie,Solothurn,CH,Weissensteinstrasse 102,,,,2500.0,,,,,2500.0,hco,lundbeck,2017,weissensteinstrasse 102,solothurn, biologische psychiatrie,35,,
11446,Schweizerische Gesellschaft für Biologische Psychiatrie,Basel,CH,,,,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,hco,servier,2015,nan,basel, biologische psychiatrie,46,,
3785,Schweizerische Gesellschaft für Biologische Psychiatrie,Prilly-Lausanne,CH,"CHUV, Departement of Psychiatry,
Route de Cery",1008,SchweizerischeGesellschaftBiologischePsychiatrieBasel,,1500.0,,,,,1500.0,hco,servier,2017,chuv departement of psychiatryroute de cery,prilly-lausanne, biologische psychiatrie,100,,42.0
8080,Schweizerische Gesellschaft für Chirurgie - Société suisse de Chirurgie,Aarau,CH,Bahnhofstrasse 55,,,,5300.0,,,,,5300.0,hco,takeda,2016,bahnhofstrasse 55,aarau, chirurgie - société suisse de chirurgie,31,,
5586,Schweizerische Gesellschaft für Cystische Fibrose,Bern,CH,Altenbergstrasse 29,,,,1000.0,,,,,1000.0,hco,csl,2016,altenbergstrasse 29,bern, cystische fibrose,17,,
9515,Schweizerische Gesellschaft für Cystische Fibrose,Bern,CH,,,,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,hco,csl,2015,nan,bern, cystische fibrose,17,,
4056,Schweizerische Gesellschaft für Cystische Fibrose (CFCH),Bern,CH,Altenbergstrasse 29,,,,4000.0,,,,,4000.0,hco,teva,2017,altenbergstrasse 29,bern, cystische fibrose (cfch),17,,
8366,Schweizerische Gesellschaft für Cystische Fibrose (CFCH),Bern,CH,Altenbergstrasse 29 Postfach 686,,,,16365.0,,,,,16365.0,hco,vifor,2016,altenbergstrasse 29 postfach 686,bern, cystische fibrose (cfch),17,,
9899,Schweizerische Gesellschaft für Dermatologie und Venerologie,Bern,CH,Dalmazirain 11,,,0.0,5400.0,0.0,0.0,0.0,0.0,5400.0,hco,glaxosmithkline,2015,dalmazirain 11,bern, dermatologie und venerologie,17,,
216,Schweizerische Gesellschaft für Dermatologie und Venerologie,Bern,CH,Inselspital,3000,,,15000.0,,,,,15000.0,hco,allergan,2017,inselspital,bern, dermatologie und venerologie,17,,
101,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,85500.0,,,,,85500.0,hco,abbvie,2017,dalmazirain 11,bern, dermatologie und venerologie (sgdv),17,,
11040,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,27000.0,0.0,0.0,0.0,0.0,27000.0,hco,pfizer,2015,dalmazirain 11,bern, dermatologie und venerologie (sgdv),17,,
5837,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,46500.0,,,,,46500.0,hco,eli,2016,dalmazirain 11,bern, dermatologie und venerologie (sgdv),17,,
8717,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,20500.0,0.0,0.0,0.0,0.0,20500.0,hco,abbvie,2015,dalmazirain 11,bern, dermatologie und venerologie (sgdv),17,,
4457,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,47100.0,,,,,47100.0,hco,abbvie,2016,dalmazirain 11,bern, dermatologie und venerologie (sgdv),17,,
9691,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,16000.0,0.0,0.0,0.0,0.0,16000.0,hco,eli,2015,dalmazirain 11,bern, dermatologie und venerologie (sgdv),17,,
1509,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,90065.0,,,50000.0,,140065.0,hco,eli,2017,dalmazirain 11,bern, dermatologie und venerologie (sgdv),17,,
2963,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV) Generalsekretariat,Bern,CH,Dalmazirain 11,,,100000.0,65200.0,0.0,0.0,2510.0,0.0,167710.0,hco,novartis,2017,dalmazirain 11,bern, dermatologie und venerologie (sgdv) generalsekretariat,17,,
8598,Schweizerische Gesellschaft für Dermatologie und Venerologie SGDV Jahresversammlung SGDV,Bern,CH,Dalmazirain 11,,,0.0,3300.0,0.0,0.0,0.0,0.0,3300.0,hco,menarini,2015,dalmazirain 11,bern, dermatologie und venerologie sgdv jahresversammlung sgdv,17,,
6518,"Schweizerische Gesellschaft für Dermatologie und Venerologie, SGDV",Bern,CH,Dalmazirain 11,,,,3450.0,,,,,3450.0,hco,menarini,2016,dalmazirain 11,bern," dermatologie und venerologie, sgdv",17,,
1785,Schweizerische Gesellschaft für Dermatologieund Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,29528.0,0.0,0.0,0.0,0.0,29528.0,hco,glaxosmithkline,2017,dalmazirain 11,bern, dermatologieund venerologie (sgdv),17,,
5711,Schweizerische Gesellschaft für Endokrin,Baden,CH,Rütistrasse 3A,,,,1813.34,,,,,1813.34,hco,eisai,2016,ruetistrasse 3a,baden, endokrin,31,,
7825,Schweizerische Gesellschaft für Endokrinologie and Diabetologie,Baden,CH,Rütistr. 3 a,,,,62100.0,,,,,62100.0,hco,sanofi,2016,ruetistrasse 3 allee,baden, endokrinologie and diabetologie,31,,
4947,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3 A,,,,64300.0,,,,,64300.0,hco,astrazeneca,2016,ruetistrasse 3 allee,baden, endokrinologie und diabetologie,31,,
10849,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3a,,,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,hco,novo,2015,ruetistrasse 3a,baden, endokrinologie und diabetologie,31,,
7246,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3a,,,100000.0,14000.0,,,,,114000.0,hco,novo,2016,ruetistrasse 3a,baden, endokrinologie und diabetologie,31,,
3112,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3A,,,55000.0,,,,,,55000.0,hco,novo,2017,ruetistrasse 3a,baden, endokrinologie und diabetologie,31,,
633,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3 A,,,0.0,55000.0,0.0,0.0,0.0,0.0,55000.0,hco,astrazeneca,2017,ruetistrasse 3 allee,baden, endokrinologie und diabetologie,31,,
883,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3A,5400,40528710,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,hco,bayer,2017,ruetistrasse 3a,baden, endokrinologie und diabetologie,31,,
2964,Schweizerische Gesellschaft für Endokrinologie und Diabetologie (SGED),Baden,CH,Rütistrasse 3A,,,0.0,2500.0,0.0,0.0,0.0,0.0,2500.0,hco,novartis,2017,ruetistrasse 3a,baden, endokrinologie und diabetologie (sged),31,,
8367,Schweizerische Gesellschaft für Gastrenterologie SGG,Bern,CH,Wattenwylweg 21,,,,2500.0,,,,,2500.0,hco,vifor,2016,wattenwylweg 21,bern, gastrenterologie sgg,17,,
11683,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,0.0,21124.0,0.0,0.0,0.0,0.0,21124.0,hco,takeda,2015,wattenwylweg 21,bern, gastroenterologie,17,,
3960,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,3006,,0.0,8626.5,0.0,0.0,0.0,0.0,8626.5,hco,takeda,2017,wattenwylweg 21,bern, gastroenterologie,17,,
8081,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,,20481.8,,,,,20481.8,hco,takeda,2016,wattenwylweg 21,bern, gastroenterologie,17,,
8718,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,0.0,76750.0,0.0,0.0,0.0,0.0,76750.0,hco,abbvie,2015,wattenwylweg 21,bern, gastroenterologie,17,,
4458,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,,66250.0,,,,,66250.0,hco,abbvie,2016,wattenwylweg 21,bern, gastroenterologie,17,,
102,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,,75250.0,,,,,75250.0,hco,abbvie,2017,wattenwylweg 21,bern, gastroenterologie,17,,
9311,Schweizerische Gesellschaft für Gastroenterologie SGG,Bern,CH,,,,0.0,6156.0,0.0,0.0,0.0,0.0,6156.0,hco,bgp,2015,nan,bern, gastroenterologie sgg,17,,
217,Schweizerische Gesellschaft für Gastroenterologie SGG,Bern,CH,Laupenstrasse 7,3000,,,3100.0,,,,,3100.0,hco,allergan,2017,laupenstrasse 7,bern, gastroenterologie sgg,17,,
4355,Schweizerische Gesellschaft für Gastroenterologie SGG (Jahreskongress SGG - SGVC - SASL),Bern,CH,c/o Gkaufmann - Verbandmanagement & Kongressorganisation - Wattenwylweg 21,,,0.0,4104.0,0.0,0.0,0.0,0.0,4104.0,hco,zambon,2017,centreo gkaufmann  verbandmanagement en kongressorganisation wattenwylweg 21,bern, gastroenterologie sgg (jahreskongress sgg - sgvc - sasl),17,,
5298,"Schweizerische Gesellschaft für Gastroenterologie SGG, vertreten durch gkaufmann",Bern,CH,Wattenwylweg 21,,,,6156.0,,,,,6156.0,hco,bgp,2016,wattenwylweg 21,bern," gastroenterologie sgg, vertreten durch gkaufmann",17,,
11447,Schweizerische Gesellschaft für Gerontologie,Bern,CH,Schwanengasse 14,,,170.0,0.0,0.0,0.0,0.0,0.0,170.0,hco,servier,2015,schwanengasse 14,bern, gerontologie,17,,
7903,Schweizerische Gesellschaft für Gerontologie,Bern,CH,Schwanengasse 14,,,170.0,,,,,,170.0,hco,servier,2016,schwanengasse 14,bern, gerontologie,17,,
11041,Schweizerische Gesellschaft für Geschichte der Pharmazie SGGP,Basel,CH,Totengässlein 3,,,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,pfizer,2015,totengaesslein 3,basel, geschichte der pharmazie sggp,46,,
4948,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe,Bern,CH,Altenbergstrasse 29,,,,6350.0,,,,,6350.0,hco,astrazeneca,2016,altenbergstrasse 29,bern, gynäkologie und geburtshilfe,17,,
218,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe,Kreuzlingen,CH,Bernrainstrasse 19,8280,,,3500.0,,,,,3500.0,hco,allergan,2017,bernrainstrasse 19,kreuzlingen, gynäkologie und geburtshilfe,32,,
4352,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe (Jahreskongress),Gossau,CH,c/o BV Congress Creating GmbH,,,0.0,4233.6,0.0,0.0,0.0,0.0,4233.6,hco,zambon,2017,calleoffice bulevar congress creating gmbh,gossau, gynäkologie und geburtshilfe (jahreskongress),29,,
11904,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe SGGG,Bern,CH,Altenbergstrasse 29 / Postfach 686,,,0.0,32358.0,0.0,0.0,0.0,0.0,32358.0,hco,vifor,2015,altenbergstrasse 29 postfach 686,bern, gynäkologie und geburtshilfe sggg,17,,
4011,Schweizerische Gesellschaft für Gynäkologieund Geburtshilfe,Bern,CH,,,,,19500.0,,,,,19500.0,hco,teva,2017,nan,bern, gynäkologieund geburtshilfe,17,,
4949,Schweizerische Gesellschaft für Herz- und thorakale Gefässchirurgie,Zürich,CH,Birmensdorferstrasse 497,,,,5000.0,,,,,5000.0,hco,astrazeneca,2016,birmensdorferstrasse 497,zuerich, herz- und thorakale gefässchirurgie,27,,
2233,Schweizerische Gesellschaft für Herz- und thorakale Gefässchirurgie SGHC,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,3175.0,,,,,2175.0,hco,menarini,2017,rue gabrielle-perret-gentil 4,geneve, herz- und thorakale gefässchirurgie sghc,29,,
8599,Schweizerische Gesellschaft für Herz- und thorakale Gefässchirurgie SGHC,Bern,CH,Münstergasse 72,,,0.0,5373.0,0.0,0.0,0.0,0.0,5373.0,hco,menarini,2015,muenstergasse 72,bern, herz- und thorakale gefässchirurgie sghc,17,,
5584,Schweizerische Gesellschaft für Herz- und thorakele Gefässchirurgie,Bern,CH,Münstergasse 72,,,,1530.0,,,,,1530.0,hco,csl,2016,muenstergasse 72,bern, herz- und thorakele gefässchirurgie,17,,
5609,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Geissenweg,,,,500.0,,,,,500.0,hco,csl,2016,innerer geissenweg,muensingen, hämatologie,44,,
1338,Schweizerische Gesellschaft für Hämatologie,Zürich,CH,Bahnhofplatz 4,,,,3500.0,,,,,3500.0,hco,csl,2017,bahnhofplatz 4,zuerich, hämatologie,27,,
884,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Giessenweg 37,3110,40531250,0.0,9000.0,0.0,0.0,0.0,0.0,9000.0,hco,bayer,2017,innerer giessenweg 37,muensingen, hämatologie,44,,
103,Schweizerische Gesellschaft für Hämatologie,Zürich,CH,Bahnhofplatz 4,,,,1500.0,,,,,1500.0,hco,abbvie,2017,bahnhofplatz 4,zuerich, hämatologie,27,,
9113,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Giessenweg 37,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,baxalta,2015,innerer giessenweg 37,muensingen, hämatologie,44,,
7247,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Giessenweg 37,,,,1000.0,,,,,1000.0,hco,novo,2016,innerer giessenweg 37,muensingen, hämatologie,44,,
2751,Schweizerische Gesellschaft für Hämatologie,Zürich,CH,Bahnhofplatz 4,,,1500.0,,,,,,1500.0,hco,mundipharma,2017,bahnhofplatz 4,zuerich, hämatologie,27,,
10850,Schweizerische Gesellschaft für Hämatologie,Münsingen,CH,Innerer Giessenweg 37,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,novo,2015,innerer giessenweg 37,muensingen, hämatologie,44,,
11282,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,3110,,0.0,11000.0,0.0,0.0,0.0,0.0,11000.0,hco,roche,2015,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh),44,,
3521,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,3110,,0.0,14000.0,0.0,0.0,0.0,0.0,14000.0,hco,roche,2017,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh),44,,
7142,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,,,,52662.7,,,4000.0,,56662.7,hco,novartis,2016,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh),44,,
7686,Schweizerische Gesellschaft für Hämatologie (SGH/SSH),Münsingen,CH,Innerer Giessenweg 37,,,0.0,13000.0,0.0,0.0,0.0,0.0,13000.0,hco,roche,2016,innerer giessenweg 37,muensingen, hämatologie (sgh/ssh),44,,
