,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,group,main_address
3888,AIU Grindelwald c/o friedeven,sPfäffikon,CH,Unterdorfstrasse 12,,,,13500.0,,,,,13500.0,hco,stallergenes,559,1.0
3141,AMACTI,Lugano,CH,"c/o Cardiocentro Ticino, Via Tesserete 48",6900,,,3500.0,,,,,3500.0,hco,orion,176,
703,AMACTI - Assoc. Medici Anestesisti Ticino,Lugano,CH,Via Tesserete 48,,,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,hco,baxter,176,1.0
1327,AMACTI Associazione Medici,Lugano,CH,Via Tesserete 48,,,,2000.0,,,,,2000.0,hco,cls,176,
6,AMACTI Associazione Medici Anestesisti del Canton Ticino,Lugano,CH,c/o Fondazione Cardiocentro Ticino,,,,2315.0,,,,,2315.0,hco,abbvie,176,
3718,AMC - Association Médecins de la Côte,Nyon,CH,Rue Neuve 6,1260,AMCNyon,,750.0,,,,,750,hco,servier,144,
745,AMIS Plus Stiftung,Zürich,CH,Hirschengraben 84,8001,40529773,0.0,20000.0,0.0,0.0,0.0,0.0,20000.0,hco,bayer,235,1.0
490,AMIS Plus Stiftung,Zürich,CH,Hirschengraben 84,,,0.0,24000.0,0.0,0.0,0.0,0.0,24000.0,hco,astrazeneca,235,
2795,AMIS Plus Stiftung,Zürich,CH,Hirschengraben 84,,,10000.00,0,0.0,0,0,0.0,10000.00,hco,novartis,235,
3385,AMITI,Paradiso,CH,Via Guisan 10,,,,1000.0,,,,,1000.0,hco,pierre,102,1.0
3719,AMITI - Associazione Medici Internisti del Cantone Ticino,Paradiso - Lugano,CH,Via General Guisan 10,6902,AMITIParadisoLugano,,1000.0,,,,,1000,hco,servier,102,
746,AOCT Associazione Oculisti Canton Ticino,Bellinzona,CH,Piazza del Sole 5,6500,40528924,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,hco,bayer,560,1.0
3563,APA Aerzte mit Patientenapothek e,St. Gallen,CH,Kolumbanstrasse 2,,,,2400.0,,,,,2400.0,hco,sandoz,561,1.0
3206,APA Ärzte mit Patientenapotheke,St. Gallen,CH,Kolumbanstrasse 2,,,0.0,0,0.0,0,400,0.0,400,hco,pfizer,145,1.0
2137,APA. Ärzte mit Patientenapotheke,St. Gallen,CH,Kolumbanstrasse 2,,,,3400.0,,,,,3400.0,hco,menarini,145,
4107,APSI - Associazione pediatri della Svizzera Italiana,Paradisio,CH,Via delle Scuole 17,,,,3000.0,,,,,3000.0,hco,vifor,562,1.0
3209,APSI Associazione Pediatri della Svizzera Italiana,Locarno,CH,Via Monte Boglia 5,,,0.0,3000,0.0,0,0,0.0,3000,hco,pfizer,563,1.0
2508,ARAM - Association Romande des Assistantes Médicales,Lausanne,CH,,,,,1800.0,,,,,1800.0,hco,msd,177,1.0
1061,ARAM - Association Romande desAssistantes Médicales,Lausanne,CH,Adresse associative,1003,,,1800.0,,,,,1800.0,hco,boehringer,177,
2139,"ARAM, Association Romande des Assistantes Médicales",St-Légier,CH,Ch. du Lussy 18,,,,2000.0,,,,,2900.0,hco,menarini,334,1.0
4108,ARFMPP - Association Romande de Formation en Médecine Psychosomatique et Psychosociale,Versoix,CH,rte de Suisse 93,,,,1000.0,,,,,1000.0,hco,vifor,335,1.0
1827,ARFMPP Association Romande de Formation en Médecine Psychosomatique et Psychosociale,Genève,CH,7 rue Calvin,,,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,hco,gruenenthal,564,1.0
2140,"ARFMPP, Association Romande de Formation en Médecinepsychosomatique et psychosociale",Versoix,CH,Route de Suisse 93,,,,2000.0,,,,,2800.0,hco,menarini,335,
3446,ARGOT Laboratoire SA Lab. de pathologie et cytologie,Lausanne,CH,"Rue du Liseron 5, Lausanne",1006,,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0,hco,roche,565,1.0
2296,"ASANA Gruppe AG, Spital Menziken",Menziken,CH,Spitalstrasse 1,,,,1200.0,,,,,1200,hco,mepha,236,1.0
2036,ASI-ADOC,Paradiso,CH,"Viale San Salvatore 7, Casella Postale 501",,,,750.0,,,,,750.0,hco,lundbeck,146,1.0
4111,ASI-ADOC,Lugano-Paradiso,CH,"Viale San Salvatore 7, C.P. 501",,,,750.0,,,,,750.0,hco,vifor,146,
3814,"ASI-ADOC - Associazione della Svizzera Italiana per i Disturbi d'Ansia, Depressivi e Ossessivo- Compulsivi",Paradiso - Lugano,CH,Viale San Salvatore 7,6902,ASIADOCParadisoLugano,,1000.0,,,,,1000,hco,servier,146,
1832,"ASI-ADOC Associazione della Svizzea Italiana per i disturbi Ansiosi, Depressivi e Ossessivo-Compuls.",Lugano-Paradiso,CH,"Viale San Salvatore, 7",,,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,gruenenthal,146,
1892,ASI-ADOC Libera la mente,Lugano-Paradiso,CH,Viale San Salvatore 7,,,0.0,800.0,0.0,0,0,0.0,800.0,hco,jansen,146,
1199,ASROMM,Chêne-Bourg,CH,Rue Peillonnex 28,,,,750.0,,,,,750,hco,bristol,178,
3388,ASROMM,Chêne-Bourg,CH,Rue Peillonnex 28 c/o Dr Sacroug Tatiana,,,,500.0,,,,,500.0,hco,pierre,178,1.0
1893,ASROMM,Chêne-Bourg,CH,Rue Peillonnex 28,,,0.0,750.0,0.0,0,0,0.0,750.0,hco,jansen,178,
1833,ASROMM Association Suisse Romande de Médecine Manuelle,Chêne-Bourg,CH,"28, rue Peillonnex",,,0.0,800.0,0.0,0.0,0.0,0.0,800.0,hco,gruenenthal,178,
2343,"ASROMM""Association Suisse Romande de médecine manuelle",Lausanne,CH,Av Vinet 19,1004,,,800.0,,,,,830,hco,mepha,336,1.0
1193,ASSOCIAZIONE TRIANGOLO,Locarno,CH,VIA CISERI 19,,,,2000.0,,,,,2000,hco,bristol,337,1.0
2148,ASSROM Association suisse romande de médicine manuelle,Lausanne,CH,"c/o Antoine Jallut, Avenue Vine 19",,,,800.0,,,,,800.0,hco,menarini,336,
1418,ATAF-APFCT / Associazione Ticinese Assistenti di Farmacia,Lugano,CH,PO Box: Casella Postale,5771,,,2500.0,,,,,2500,hco,eli,566,1.0
761,ATLS Advanced Trauma Life Support,Aarau,CH,Bahnhofstrasse 55,5001,1060352934,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,bayer,567,1.0
2672,AarReha,Schinznach,CH,Schinznach-Bad,,,1000.0,,,,,,1000.0,hco,mundipharma,76,
3204,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,,,0.0,1000,0.0,0,0,0.0,1000,hco,pfizer,76,1.0
1220,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,,,,1500.0,,,,,1500,hco,bristol,76,
740,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,5116,40529319,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,hco,bayer,76,
1412,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,,,,1000.0,,,,,1000,hco,eli,76,
3906,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,5116,,0,500.00,0.0,0,0,0.0,500.00,hco,takeda,76,
273,Aarreha Schinznach,Schinznach-Bad,CH,Badstrasse 55,,,,500.0,,,,,500.0,hco,amgen,76,
192,Académie Dr. Ney,Vevey,CH,Rue des Moulins 4Vevey,1800,,,,,,3800.0,60.0,3860.0,hco,allergan,568,1.0
274,Adimed,Winterthur,CH,Lagerhausstrasse 9,,,,6800.0,,,,,6800.0,hco,amgen,569,1.0
1,Advisis AG,Bern,CH,Effingerstrasse 55,,,,7000.0,,,,,7000.0,hco,abbvie,101,1.0
1693,Advisis AG,Bern,CH,Effingerstrasse 55,,,0.0,149256.0,0.0,0.0,0.0,0.0,149256.0,hco,glaxosmithkline,101,
2135,Advisis AG,Bern,CH,Effingeratrasse 55,,,,51800.0,,,,,51800.0,hco,menarini,101,
741,Advisis AG,Bern,CH,Effingerstrasse 55,3008,1051547182,0.0,52000.0,0.0,0.0,0.0,0.0,52000.0,hco,bayer,101,
1413,Advisis AG,Bern,CH,Effingerstrasse 55,,,,77000.0,,,,,77000,hco,eli,101,
2,Aerzte Thalwil,Thalwil,CH,Rudishaldenstrasse 1,,,,2500.0,,,,,2500.0,hco,abbvie,237,1.0
4325,AerzteNetzwerk Grauholz,Lenzburg,CH,c/o Argomed Ärzte AG - Bahnhofstrasse 24,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,zambon,570,1.0
944,Aerztegesellscha ft Luzern - Sektion Gäu,Luzern,CH,Schwanenplatz 7,,,,1000.0,,,,,1000.0,hco,bgp,126,
4103,Aerztegesellschaft Gäu,Sursee,CH,Spitalstrasse 16a,,,,1000.0,,,,,1000.0,hco,vifor,571,1.0
4102,Aerztegesellschaft des Kantons Bern,Bern,CH,"Postgasse 19, PF",,,,2160.0,,,,,2160.0,hco,vifor,103,1.0
742,Aerztegesellschaft des Kantons Bern,Bern,CH,Postgasse 19,3000,40702884,0.0,300.0,0.0,0.0,0.0,0.0,300.0,hco,bayer,103,
1414,Aerztegesellschaft des Kantons Bern,Bern,CH,Postgasse 19,,,,4630.0,,,,,4630,hco,eli,103,
4104,"Aerztenetzwerk Bern Nord-West, DoxNet",Hinterkappelen,CH,Kappelenring 6,,,,2000.0,,,,,2000.0,hco,vifor,104,
3717,Aerztenetzwerk Grauholz,Ittigen,CH,Worblentalstrasse 99,3063,AerztenetzwerkGrauholzIttigen,,2000.0,,,,,2000,hco,servier,67,
2362,Aerzteverien Davos,Davos Platz,CH,Promenade 4,7270,,,3000.0,,,,,3120,hco,mepha,238,1.0
3,Aesculap Akademie,Sempach,CH,Seesatz 17,,,,2000.0,,,,,2000.0,hco,abbvie,572,1.0
743,Affidea Cimed,Fribourg,CH,Rue de Romont 24,1700,1066345153,0.0,92181.02,0.0,0.0,16673.57,0.0,108854.59,hco,bayer,573,1.0
275,Agla Arbeitsgruppe Lipide Und Atherosklerose,Steinhausen,CH,Sennweidstrasse 46,,,,45200.0,,,,,45200.0,hco,amgen,26,
3562,Aglaea,Buchrain,CH,Hauptstrasse 12,,,,7000.0,,,,,7000.0,hco,sandoz,574,1.0
5,Albert Bruppacher Stiftung,Zürich,CH,Frauenklinikstrasse 24,,,,,,,2500.0,,2500.0,hco,abbvie,1,1.0
193,Albert Bruppacher Stiftung,Zürich,CH,"Universitäts Augenklinik, Frauenklinikstrasse 24Zürich",8091,,,,,,1900.0,145.0,2045.0,hco,allergan,1,
2793,"Albert Bruppacher Stiftung c/o Universitätsspital Zürich, Augenklinik",Zürich,CH,Frauenklinikstrasse 24,,,0,0,0.0,0,9550.00,0.0,9550.00,hco,novartis,1,
1694,Allergy & Immunology Update (AIU),Bern,CH,Scheibenstrasse 14,,,0.0,14580.0,0.0,0.0,0.0,0.0,14580.0,hco,glaxosmithkline,575,1.0
3818,Allgemeine Pädiatrie:Kinderspital Zürich,Zürich,CH,Steinwiesstrasse 75,,,,7043.86,,2518.53,,,9562.39,hco,shire,38,1.0
2409,Alternative Communication,Lausanne,CH,Avenue Cecil 2,,,,3900.0,,,,,3900.0,hco,merck,576,1.0
1011,Alzheimer Forum Schweiz,Basel,CH,Burgfelderstrasse 101,,,,5000.0,,,,,5000,hco,biogen,105,1.0
2794,"Alzheimer Forum Schweiz c/o Memory Clinic,Univers. Altersmedizin Felix Platter-Spital",Basel,CH,Burgfelderstrasse 101,,,300.00,0,0.0,0,0,0.0,300.00,hco,novartis,105,
2030,Ambulatorien Zentrum für Psychotische Erkrankungen,Basel,CH,Kornhausgasse 7,,,,,,,1400.0,,1400.0,hco,lundbeck,577,1.0
7,Ambulatorium Wiesendamm,Basel,CH,Wiesendamm 22,,,,1000.0,,,,,1000.0,hco,abbvie,578,1.0
276,Amiti,Paradiso,CH,Via Guisan 10,,,,500.0,,,,,500.0,hco,amgen,102,
2796,AndreasKlinik Cham Zug,Cham,CH,Rigistrasse 1,,,0,2000.0,0.0,0,0,0.0,2000.00,hco,novartis,338,
277,Andreasklinik Cham Zug,Cham,CH,Rigistrasse 1,,,,2000.0,,,,,2000.0,hco,amgen,338,1.0
737,Aospine Foundation,Dübendorf,CH,Stettbachstrasse,,,0.0,0.0,5115.0,0.0,0.0,0.0,5115.0,hco,baxter,579,1.0
3720,ApA - Ärzte mit Patientenapotheke,St. Gallen,CH,Kolumbanstrasse 2,9008,ApAStGallen,400.0,,,,,,400,hco,servier,145,
3648,"Apa, Ärzte mit Patientenapotheke",St. Gallen,CH,Kolumbanstrasse 2,9008,,,,,,400.0,,400.0,hco,sanofi,145,
3907,Apotheke Drogerie Reformhaus Kuhn AG,Brugg AG,CH,Bahnhofplatz 7,5201,,70.80,0,0.0,0,0,0.0,70.80,hco,takeda,580,1.0
3721,Apotheke Drogerie Rüegg Hinwil,Hinwil,CH,Dürntnerstrasse 19,8340,BonadeaHinwil,,,,,1500.0,177.0,1677,hco,servier,581,1.0
3207,Apothekerverband Kantons Zürich,Zürich,CH,Rotbuchstrasse 83,,,0.0,15000,0.0,0,0,0.0,15000,hco,pfizer,339,1.0
1695,Apothekerverband des Kantons Zürich (AVKZ),Zürich,CH,Rotbuchstrasse 83,,,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,hco,glaxosmithkline,339,
3564,Appenzellerische Ärztegesellschaf t,bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000.0,hco,sandoz,77,
2507,Appenzellische Ärztegesellschaf t,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000.0,hco,msd,77,
468,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,astrazeneca,77,
1415,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000,hco,eli,77,
2396,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2060,hco,mepha,77,
4106,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000.0,hco,vifor,77,
3208,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,0.0,2000,0.0,0,0,0.0,2000,hco,pfizer,77,1.0
1891,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,0.0,2000.0,0.0,0,0,0.0,2000.0,hco,jansen,77,
2138,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000.0,hco,menarini,77,
2797,Arbeitsgemeinschaft Fortbildung für Apothekenmitarbeiter (agfam) c/o Frau Monika Mogavero,Winterthur,CH,Postfach,,,0,3000.0,0.0,0,0,0.0,3000.00,hco,novartis,582,1.0
3445,Arbeitsgemeinschaft für Gynäkologische Onkologie und Brust Gesundheit der SGGG,Zürich,CH,"Frauenklinikstrasse 10, Zürich",8091,,0.0,0.0,0.0,0.0,15000.0,0.0,15000.0,hco,roche,583,1.0
491,Arbeitsgemeinschaft für gynäkologische Endoskopie (AGE/GTEG),Bern,CH,Thunstrasse 27,,,0.0,5800.0,0.0,0.0,0.0,0.0,5800.0,hco,astrazeneca,584,1.0
3722,Arbeitsgruppe Herzinsuffizienz der SGK,Basel,CH,Universitätsspital Basel - Petersgraben 4,4031,ArbeitsgruppeHerzinsuffizienzSGKBasel,5000.0,,,,,,5000,hco,servier,585,1.0
3210,Arbeitsgruppe Koloproktologie,St. Gallen,CH,Rorschacherstrasse 95,,,0.0,2300,0.0,0,0,0.0,2300,hco,pfizer,239,1.0
748,Arbeitsgruppe Lipide und Atherosklerose,Diessenhofen,CH,Hintergasse 65,8253,1051562846,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,hco,bayer,586,1.0
489,Arbeitsgruppe Lipide und Atherosklerose (AGLA ),Steinhausen,CH,Sennweidstrasse 46,,,0.0,7500.0,0.0,0.0,12000.0,0.0,19500.0,hco,astrazeneca,26,
2509,Arbeitsgruppe Lipide und Atherosklerose Geschäftsstelle AGLA c/o Medworld AG,Steinhausen,CH,Sennweidstrasse 46,,,,9000.0,,,,,9000.0,hco,msd,26,
492,Arbeitsgruppe für Echokardiographie,Bern,CH,Sidlerstrasse 4,,,0.0,4500.0,0.0,0.0,0.0,0.0,4500.0,hco,astrazeneca,587,1.0
2798,Arbeitsgruppe für Herzinsuffizienz Präsident: Prof. Dr. med. Roger Hullin,Bern,CH,Schwarztorstrasse 18,,,15600.00,0,0.0,0,0,0.0,15000.00,hco,novartis,588,1.0
747,Arbeitsgruppe für Kardiovaskuläre Pflege und Therapien,Bern,CH,Dufourstrasse 30,3005,40532540,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,bayer,589,1.0
2373,Argomed Ärzte AG,Lenzburg,CH,Bahnhofstrasse 24,,,,10500.0,,,,,10620,hco,mepha,340,1.0
2799,Argomed Ärzte AG,Lenzburg,CH,Bahnhofstrasse 24,,,0,0,1200.0,400.00,0,0.0,1600.00,hco,novartis,340,
3045,Arnold endocrinologie et neurologie SA,Sion,CH,Rue de Lausanne 35,,,,,,,400.0,,400,hco,novo,590,1.0
2673,Arud,Zürich,CH,Zürich,,,4600.0,,,,,,4600.0,hco,mundipharma,591,1.0
8,Arud Zentren für Suchtmedizin - Geschäftsstelle,Zürich,CH,Schützengasse 31,,,15000.0,4000.0,,,7800.0,,26800.0,hco,abbvie,592,1.0
1634,Arud Zentrum für Suchtmedizin,Horgen,CH,Seestrasse 185,,,,,526.0,500.0,,,1026.0,hco,gilead,593,1.0
1635,Arud Zentrum für Suchtmedizin,Zürich,CH,Konradstrasse 32,,,1500.0,546.0,1000.0,,,,3046.0,hco,gilead,594,1.0
2510,Arud Zentrum für Suchtmedizin [H_A500],Zürich,CH,Schützengasse 31,,,,2000.0,,,,,2000.0,hco,msd,595,1.0
4110,Asana Gruppe AG,Menziken,CH,Spitalstrasse 1,,,,2000.0,,,,,2000.0,hco,vifor,236,
1067,"Asana Gruppe AG, Spital Menziken MedizinKardiologie",Menziken,CH,Spitalstrasse 1,5737,,,3000.0,,,,,3000.0,hco,boehringer,236,
496,Ass. Mendrisio Medical Meeting,Minusio,CH,Via Cadogno 1,,,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,hco,astrazeneca,55,
9,Ass. des Gastroentérologues valaisans,Muraz,CH,Rue de la Vanire 18,,,,4000.0,,,,,4000.0,hco,abbvie,596,1.0
2809,Ass. genevoise des medecins de famille interniste généralistes (AGeMIG) c/o Dr Didier Châtelain,Genève,CH,Rue du Conseil-Général 11,,,0,4000.00,0.0,0,0,0.0,4000.00,hco,novartis,68,
2515,Ass. genevoise des médecins de famille interniste généralistes (AGeMIG) c/o Dr Didier Châtelain,Genève,CH,Rue du Conseil-Général 11,,,,13500.0,,,,,13500.0,hco,msd,68,
3649,Ass.Mendrisio,Bedano,CH,Via Belvedere 10,6930,,,,,,3000.0,,3000.0,hco,sanofi,341,1.0
2354,"Association ""Journée Jurassienne de Médecine""",Delémont,CH,Rue de la Préfecture 1,2800,,,1600.0,,,,,1660,hco,mepha,127,
1319,Association COALAT,Lausanne,CH,Rue du Bugnon,,,,30000.0,,,,,30000.0,hco,cls,2,
3050,Association COALAT,Lausanne,CH,Rue du Bugnon,,,,5000.0,,,,,5000,hco,novo,2,1.0
4112,"Association COALAT, Service d'Anesthésiologie",Lausanne,CH,"Rue du Bugnon 46, BH 10-315",,,,3000.0,,,,,3000.0,hco,vifor,2,
1834,Association CRAL,Le Mont sur Lausanne,CH,Ch des Buchilles 8,,,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,hco,gruenenthal,177,
2810,Association D’Esculape En Lavaux (ADAEL) c/o Dr Thierry Reymond,Lutry,CH,Rue Verdaine,,,0,2000.0,0.0,0,0,0.0,2000.00,hco,novartis,100,
2005,Association D’Esculape En Lavaux ADEL,Lutry,CH,"Association D’Esculape En Lavaux, Grand- Rue 22",1095,,,2000.0,,,,,2000.0,hco,leo,233,
1702,Association Excellence in Paediatrics Institute,Morges,CH,Rue des Vignerons 1b,,,49000.0,0.0,0.0,0.0,0.0,0.0,49000.0,hco,glaxosmithkline,240,
2114,"Association Genevoise d'Asthme, d'Allergologie et d'Immunologie clinique",Genève,CH,Rue Emile-Yung 11,,,,1000.0,,,,,1000.0,hco,meda,125,
497,Association Genevoise des Médecins de famille internistes et généralistes,Genève,CH,Chemin Beau-Soleil 22,,,0.0,4000.0,0.0,0.0,0.0,0.0,4000.0,hco,astrazeneca,106,
1703,"Association Genevoise d’Allergologie,d’Immunologie et d’Asthme",Genève,CH,Rue Emile Yung 11,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,glaxosmithkline,125,
1835,Association Groupe Lausanne Nord,Lausanne,CH,Avenue de Chailly 25,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,gruenenthal,342,
756,Association Journée Jurasienne de Médecine,Delémont,CH,Rue de la Préfecture 1,2800,1053109088,0.0,1600.0,0.0,0.0,0.0,0.0,1600.0,hco,bayer,127,
2679,Association Journée Jurassienne de Médecine,Delémont,CH,Delémont,,,1600.0,,,,,,1600.0,hco,mundipharma,597,1.0
1704,Association Journée Jurassienne de Médecine,Delémont,CH,Avenir 12,,,0.0,1600.0,0.0,0.0,0.0,0.0,1600.0,hco,glaxosmithkline,598,1.0
2812,Association Journée Jurassienne de Médecine c/o Dr. Markus Hug,Delémont,CH,Rue de la Prefecture 1,,,0,1600.00,0.0,0,0,0.0,1600.00,hco,novartis,127,
2516,Association Journées de Gériatrie de la T'Chaux c/o Dr. Mauro Walter Gusmini,La Chaux-de-Fonds,CH,Rue de la Serre 7,,,,6500.0,,,,,6500.0,hco,msd,343,1.0
757,Association Les Journées de Gériatrie de La T'chaux,La Chaux-de-Fonds,CH,Rue de la Serre 7,2300,1060071678,0.0,7500.0,0.0,0.0,0.0,0.0,7500.0,hco,bayer,343,
3654,Association Malattie Genetiche Rare - Svizzera Italiana,Bellinzona,CH,Via Orico 9,6500,,,10000.0,,,,,10000.0,hco,sanofi,599,1.0
2144,Association Médecins de la Côte,Nyon,CH,c/o Dr. Sarra Inoubli Le Roy. 6 Rue Neuve,,,,1500.0,,,,,1500.0,hco,menarini,144,
758,Association Périnatalité Valais,Siviriez,CH,Route de Brenles 43,1678,1053030670,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,bayer,600,1.0
2277,Association Quadrimed,Crans-Montana 1,CH,Case postale 299,,,,10427.0,,,,,10427,hco,mepha,30,
279,Association Rencontre Cardiologique,Genève,CH,Rue Marignac 13,,,,3000.0,,,,,3000.0,hco,amgen,241,
3216,Association Rencontre cardiologique annuelle,Genève,CH,Rue Marignac 13,,,0.0,2000,0.0,0,0,0.0,2000,hco,pfizer,241,1.0
759,Association Rencontres cardiologiques annuelles,Genève,CH,Rue Marignac 13,1206,1052313543,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,bayer,241,
428,Association Research in Surgery (ARS),Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,5000.0,0.0,0.0,0.0,0.0,0.0,5000.0,hco,astellas,601,1.0
948,Association Romande Des Assistantes Medicales,St-Légier,CH,Chemin du Lussy 18,,,,1800.0,,,,,1800.0,hco,bgp,334,
1706,Association Romande des Assistantes Médicales(ARAM),Lausanne,CH,(no postal address),,,0.0,3600.0,0.0,0.0,0.0,0.0,3600.0,hco,glaxosmithkline,177,
280,Association Suisse Romande De Médecine Manuelle,Genève,CH,Av. Vinet 19,,,,1500.0,,,,,1500.0,hco,amgen,602,1.0
2681,Association Suisse Romande de Médecine Manuelle,Lausanne,CH,Lausanne,,,1000.0,,,,,,1000.0,hco,mundipharma,603,1.0
3052,Association Valaisanne du Diabète,Sion,CH,Rue de Condémines 16,,,800.0,550.0,,,,,1350,hco,novo,604,1.0
1894,Association contre le VIH,Basel,CH,Spitalstrasse 12,,,0.0,0.0,0.0,0,30000,0.0,30000.0,hco,jansen,242,
10,Association contre le VIH et autres infections transmissibles,Basel,CH,Spitalstrasse 12,,,,30000.0,,,,,30000.0,hco,abbvie,242,1.0
