Takeda Pharma AG and Takeda Pharmaceuticals International AG
Dato of publication:	19.06.2019
"Full Name
(Art 1.01";"HCPszCityof
Principal Practica
HCOs:c>ty where
registered
(Art 3)";"Country of Prndpal
Practice
(Schedule 1)";"Principal Practice
Address
(Art 3)";"Uniquo country
identifier OPTIONAL
(Art. 3)";"Donations and G ants
to HCOs (Art
3.01.1.a)";Contribution to costs of Events (Art 3.01.1.b & 301.2 a);;;"Fee for service and consultancy (Art 3.01.1.c &
3.01.2.C)";;;"TOTAL
OPTIONAL"
;"Cab net Dr Cochet
Stéphane / Dr Tran-
Thang Nhu-Nam";1004 Lausanne;SWITZERLAND;"Avenue Alexandre
Vmet 19b";;;;368.50 CHF;584.26 CHF;;;;95276 CHF
;"Centre de
Gastroentérologle
Beaulieu SA./Centre
Crohn et Colite";1004 Lausanne;SWITZERLAND;Avenue Jomini 8;;;;;;6300.00 CHF;;;6*300.00 CHF
;"Centro Oncologico
Mendrisìo";6850 Mendrisio;SWITZERLAND;via Luigi Lavizzai 8;;;;360.00 CHF;438.00 CHF;;;;798.00 CHF
;Circolo di Qualità PMB;6826 Riva San Vitale;SWITZERLAND;Via Alle Ranche 5;;;700.00 CHF;;;;;;700.00 CHF
;"Circolo medico del
Bellinzonese";6517 Arbedo;SWITZERLAND;Via Orbello 22;;;2500.00 CHF;;;;;;250000 CHF
;"Cinica Luganese
More loco SA";6900 Lugano;SWITZERLAND;Via Moncucco 10;;;969.30 CHF;24690 CHF;V381.11 CHF;;;;259731 CHF
;"ESMO (European
Society for Medicai
Oncology)";6962 Vigano Ilo;SWITZERLAND;via Luigi Taddei 4;;;62012.45 CHF;;;;;;62-012.45 CHF
;"European Thoracic
Oncology Platform";3008 Bern;SWITZERLAND;Effingerstrasse 40;;;5 “000.00 CHF;;;;;;5-00000 CHF
"Takeda Pharma AG and Takeda Pharmaceuticals International AG - HCP/HCO Transparency Disclosure Report for year 2018; Issue n.l of June 19, 2019"
Fondation Cansearch;1226 Thönex;SWITZERLAND;"Chemin du Pont-
Perrin 6";;2000.00 CHF;;;;;;;P ‘00000 CHF
"Fondazione di Ricerca
Psicooncologica";0900 Lugano;SWITZERLAND;"Via Antonio
Fogazzaro 3";;;2000.00 CHF;;;;;;200000 CHF
"Fondazione per
l'Istituto Oncologico di
Ricerca (IOR)";6500 Bellinzona;SWITZERLAND;Via Ospedale;;;moo.oo CHF;;;3-200.00 CHF;111 00 CHF;;5 81100 CHF
"GastroZentrum
Hirslanden Zürich";8032 Zürich;SWITZERLAND;Witellikerstrasse 40;;;;357.93 CHF;4 953.17 CHF;;;;5-311.10 CHF
"Gastroenterologische
Praxis Bateiger.
Soi bold a Partner-
Standort Bern";3012 Bern;SWITZERLAND;"Bremgarten strasse
119";;;1800.00 CHF;738.00 CHF;4-422.60 CHF;4 723.20 CHF;;;11'683.80 CHF
"Gastrorentrum Obach
AG";4500 Solothurn;SWITZERLAND;Oba distrasse 23;;;;313.25 CHF;670.50 CHF;;;;983.75 CHF
"Haematology Nurses
& Healthcare
Professionale Group";8408 Winterthur;SWITZERLAND;"No street address
available";;;2000.00 CHF;;;I'OOO OO CHF;;;3-00000 CHF
"Hirslanden KTmik St
Anna";6006 Luzern;SWrtZERLAND;"Sankt An nastrasse
32";;;1'000.00 CHF;313.25 CHF;;;;;1-313.25 CHF
"Hôpitaux
Universitaires de
Genève (HUG)";1205 Genève;SWITZERLAND;"Rue Gabrielle-Perret-
Gentil 4";;;5077.00 CHF;232.15 CHF;511.66 CHF;900.00 CHF;;;6720.81 CHF
"Hôpitaux
Universitaires de
Genève (HUG) - Unité
d'onco-hématologie
pédiatriquo";1205 Genève;SWITZERLAND;Rue WiBy-Donz6 6;;;3'OOO.OOCHF;;;;;;3000.00 CHF
iBDnet;8000 Zürich;SWITZERLAND;"No street address
available";;;30000.00 CHF;;;;;;30 000.00 CHF
Insol Gruppe AG;3010 Bern;SWITZERLAND;Freiburgstrasso 18;;;1000.00 CHF;644.87 CHF;V662.70 CHF;;;;3-307.57 CHF
insei Gruppe AG;3010 Bern;SWITZERLAND;Freiburgstrasse 18;;;6 000.00 CHF;488.67 CHF;2071.38 CHF;3-325.00 CHF;;;12-484.95 CHF
"KHM-Kollegium für
Hausarztmedizin -
Collège de Médecine
de Premier Recours";1701 Fribourg;SWITZERLAND;Rue de l'Hôpital 15;;;6-203.55 CHF;;;;;;6203.55 CHF
"Kantorsspital Aarau
AG";5001 Aarau;SWITZERLAND;Telstrasse 25;;;1'292.40 CHF;232.15 CHF;461.19 CHF;900.00 CHF;;;2885.73 CHF
"Kantonsspital Baden
AG";5404 Baden;SWITZERLAND;Im Ergel 1;;;6*500.00 CHF;232.15 CHF;491.53 CHF;;;;7223.68 CHF
"Kantonsspital
Baselland Standort
Liestal";4410 Liestal;SWITZERLAND;Rheinstrasse 26;;;;652.25 CHF;2V70.71 CHF;;;;2722.96 CHF
"Kantonespital
Graubünden";7000 Chur;SWITZERLAND;Loestrasse 170;;;3'QOO.OO CHF;792.27 CHF;2'392.53 CHF;2-925.00 CHF;;;9-109.80 CHF
"Kantonsspital
Münstertlngen - Spital
Thurgau AG";8596 Münsterfingen;SWITZERLAND;Spttateampus 1;;;;;388.56 CHF;900.00 CHF;;;V288.56CHF
"Kantonsspital St
Gallen";9007 St. Gallen;SWITZERLAND;"Ro'schachcr Strasse
95";;;14'119.00 CHF;719.16 CHF;1037.16 CHF;5-550.00 CHF;;;21-425.32 CHF
"Kantonsspital
Winterthur";8401 Winterthur;SWITZERLAND;Brauerstrasse 15;;;2-157.00 CHF;1050.22 CHF;2050.12 CHr;;;;5-857.34 CHF
"Kempf und Pfaltz
Histologische
Diagnostik AG";8050 Zürich;SWITZERLAND;Affoltemstrasse 56;;;2000.00 CHF;;;;;;2000.00 CHF
"Takeda Pharma AG and Takeda Pharmaceuticals International AG - HCP/HCO Transparency Disclosure Report for year 2018; Issue n.l of June 19,2019"
HCOs
"Klinik HirsJanden AG •
Onkozentrum
Hlrslanden";8032 Zurich;SWITZERLAND;Witellikerstrasse 40;;;;;;2000.00 CHF;;;2000.00 CHF
"La Tour Hôpital Privé
SA. Hôpital do la Tour";1217 Meyrin;SWITZERLAND;"Avenue Jean-Daniel
Ma Ward 3";;;;;;900.00 CHF;;;900.00 CHF
"Luzemor Höhenklinik
Montana";3963 Montana;SWITZERLAND;Route de f Astoria 2;;;1'413.00 CHF;;;;;;1413.00 CHF
"Luzorner
Kantonsspital Luzern";6004 Luzern;SWITZERLAND;Spitalstrasse;;;4*850.00 CHF;313.25 CHF;670.55 CHF;;;;5'633.80 CHF
"Luzemor
Kantonsspital Luzorn -
Hämatologie";6004 Luzom;SWITZERLAND;Spitalstrasse;;;2'00000 CHF;;;;;;2000.00 CHF
"MEDICOL - Direction
et recherches";1006 Lausanne;SWITZERLAND;"Chemin de
Montolivet 19";;;31000.00 CHF;;;;;;3000.00 CHF
"Magendarmliga
Schweiz";3001 Bern;SWITZERLAND;Postfach 7207;;;31000.00 CHF;;;;;;3-000.00 CHF
"Onkologtepfiogo
Schweiz";"8451
Klelnandelfingen";SWITZERLAND;Hirstigstrasse 13;;;T500 00 CHF;;;;;;7500.00 CHF
"Ordine dei medici del
Cantone Ticino";6805 Mezzovico;SWIT7ERI AND;Via Cantonale;;;1 '600 00 CHF;;;;;;1600.00 CHF
"Ospedale regionale
Bellinzona o Valli EOO
• BelEnzona";6500 Bellinzona;SWITZERLAND;Via Ospedale;;;;;;1750.00 CHF;;;1250.00 CHF
"Ospedale regionale
Bellinzona e Valli EOO
- Bellnzona - EOCOD";6500 Bellinzona;SWITZERLAND;Via Ospedale;;;3000.00 CHF;;;;;;3000.00 CHF
"Ospedale regionale
Bellinzona e Valli EOC
- Bellnzona - KDSI
istituto Oncologico
della Svizzera Italiana";6500 Bellinzona;SWITZERLAND;Via Ospedale;;;7700.00 CHF;541.70 CHF;3*500.38 CHF;;;;11742 OB CHF
Osteoporose Plattform;8038 Zürich;SWITZERLAND;Bellariastrasse 38;;;5*400.00 CHF;;;;;;5400.00 CHF
"Osteoporoseptatiform
SGR";8038 Zürich;SWITZERLAND;Beilariastrasse 38;;;5*385.00 CHF;;;;;;5-385.00CHF
"Praxis für Magen-
DarmkrankheHen Dr.
Huber Marcel/Dr
Bernardi Marco";8002 Zürich;SWITZERLAND;Seestrasse 90;;;;643.53 CHF;1-193.12 CHF;;;;1836.65 CHF
"SAKK Schweizerische
Arbelsgemeinschaft
für Klinische
Krebsforschung";3008 Bern;SWITZERLAND;Effingerstrasse 33;;98*22100 CHF;31'186.50 CHF;;;;;;12T407.50 CHF
"SAMO Swiss
Academy of
Multidisciplinary
Oncology -
Geschäftsstolle";3008 Bern;SWITZERLAND;Effingerstrasse 40;;;11'343.00 CHF;;;;;;11'343.00 CHF
"Takeda Pharma AG and Takeda Pharmaceuticals International AG - HCP/HCO Transparency Disclosure Report for year 2018; Issue n.l of June 19,2019"
"SGV/SSMC
Schweizerische
Gesellschaft der
Vertrauens- und
Versi choru r>g sä ntte";8404 Winterthur;SWITZERLAND;Industriestrasse 24;;;16X300.00 CHF;;;;;;16X300.00 CHF
"Schweiz. Vereinig,
gegen die
Osteoporose/Assoc.
Suisse contre
rOstéoporose";4055 Basel;SWITZERLAND;Missionsstrasse 24;;;3X300.00 CHF;;;;;;3000.00 CHF
"Schweizerische
ÄrztegeseHschaft für
Manuele Medizin";9008 SL GaBen;SWITZERLAND;Kolumbanstrasse 2;;;5'10000 CHF;;;;;;5100 00 CHF
"Schweizerische Ges.
für Rheumatologie -
Société suisse de
Rhumatologie";8005 Zürich;SWITZERLAND;Josefstrasse 92;;;5 42610 CHF;;;;;;5-428.10 CHF
"Schweizerische
Gesellschaft für
Gastroenterologie";3006 Bern;SWITZERLAND;Wettenwytwog 21;;;13-273.88 CHF;;;;;;17273.88 CHF
"Schweizerische
Gesellschaft für
Viszeralchinjrgie";5001 Aarau;SWITZERLAND;Bahnhofstrasse 55;;;2*497.56 CHF;;;;;;7497.56 CHF
"Schweizerisches
Tropen- und Public
Heaith-tastitut";4051 Basel;SWITZERLAND;SodnstrassQ 57;;;300000 CHF;;;;;;7000.00 CHF
Spital Uster;8610 Uster;SWITZERLAND;Brunnenstrasse 42;;;;313.22 CHF;459.00 CHF;;;;772.22 CHF
"Spitalregion
Fürstenland
Toggenburg";9500 Wil SG;SWITZERLAND;"Fürstenlandstrasse
32";;;2'100.00 CHF;;;;;;7100.00 CHF
SL Claraspital AG;4058 Basel;SWITZERLAND;"Klein riehenstrasse
30";;;2'000.00 CHF;;121.94 CHF;;;;7121.94 CHF
"SLGaHen Oncology
Conferences SONK";9006 St. Galen;SWITZERLAND;"Rorschach er Strasse
150";;;1X315.50 CHF;;;;;;1615.50 CHF
Stadtspital Triemil;8063 Zürich;SWITZERLAND;"Birmensdorferstrass
e497";;;;313.25 CHF;670.50 CHF;;;;983.75 CHF
"Stftungför
wissenschaftliche
Forschung am
Stadtspital Triemil";8063 Zürich;SWITZERLAND;"Birmonadorferstrass
0 497";;;2*590.00 CHF;;;;;;7500.00 CHF
"Swiss Association for
the Study of the Liver";8044 Zürich;SWITZERLAND;Toblerstrasse 51;;;7278 80 CHF;;;;;;7278.80 CHF
"Swiss Tumor Institute.
Platz Zürich";8038 Zürich;SWITZERLAND;Seestrasse 259;;;16000.00 CHF;;;;;;18X300.00 CHF
"Trägerverein Swtes
Oncology*
Hematology Congress";8001 Zürich;SWITZERLAND;Talackerstrasse 50;;;8616.00 CHF;;;;;;6616.00 CHF
Universität Basel;4051 Basel;SWITZERLAND;Petersplatz 1;;5 '000.00 CHF;;;;;;;5X300.00 CHF
"Universität Zürich
(UZH)";8006 Zürich;SWITZERLAND;Rämistrasse 71;;145101.60 CHF;;;;;;;145101.60 CHF
"Universitàts*
Kinderspital beider
Basel UKBB";4056 Basel;SWITZERLAND;Spitalstrasse 33;;;;;;5-400.90 CHF;;;5400.00 CHF
"Takeda Pharma AG and Takeda Pharmaceuticals International AG - HCP/HCO Transparency Disclosure Report for year 2018; Issue n.l of June 19,2019"
;"Universi tâtsSpital
Zurich";8091 Zurich;SWITZERLAND;Rämistrasse 100;;1'200.00 CHF;17347.00 CHF;147.40 CHF;1093.40 CHF;;;;19787.80 CHF
;"UniversitätsSpital
Zürich -
Dermatologische
Klinik";8091 Zürich;SWITZERLAND;Gloriastrasse 31;;5‘385.00 CHF;;;;;;;5-385.00 CHF
;"UniversitätsSpital
Zürich - Institut für
Pathologie und
Molekularpathologie";8091 Zürich;SWITZERLAND;"Schmelzbergstrasse
12";;;;;;1500.00 CHF;;;V500.00CHF
;"UniversitätsSpital
Zürich -
Kantonsapotheke
Zürich";8952 Schlieren;SWITZERLAND;Südstrasse 3;;;;;;800.00 CHF;;;800.00 CHF
;"UniversitätsSpital
Zürich-Klinikfür
Gastroenterologie und
Hepatologie";8091 Zürich;SWITZERLAND;Rämistrasse 100;;;11'OOOOOCHF;656.49 CHF;9732.12 CHF;;;;2V388.61 CHF
;"UniversitätsSpital
Zürich - Klinik für
Hämatologie";8091 Zürich;SWITZERLAND;Ramistrasse 100;;;;232.15 CHF;491.53 CHF;;;;723.68 CHF
;"Universitätsspital
Basel";4031 Basel;SWITZERLAND;Spitalstrasse 21;;155-900.50 CHF;2000.00 CHF;368.50 CHF;615.33 CHF;4-840.00 CHF;;;163724.33 CHF
;"Universitätsspitat
Basel -
Gastroenterologe und
Hepatologie";4031 Basel;SWITZERLAND;Petersgraben 4;;;;;;1-200.00 CHF;;;1-200.00 CHF
;"Università tsspital
Basel - Wink für
Medizinische
Onkologie";4031 Basel;SWITZERLAND;Petersgraben 4;;;;;;900.00 CHF;;;900.00 CHF
;"Universitätsspital
Basel - Zentrums für
Härrato-Onkclogie";4031 Basel;SWITZERLAND;"Klingelbergstrasse
23";;;;;;9 VOO. 00 CHF;;;9V00 00 CHF
;"Verband Stadtzürcher
Apolheken (VS ZA)";8037 Zürich;SWITZERLAND;Rotbuchstrasso 83;;;4500.00 CHF;;;;;;4-500.00 CHF
;"Verein
Gastroenterologe
Zürich VGZ";8610 Uster;SWITZERLAND;Poststrasse 2;;;2-500.00 CHF;;;;;;2-50000 CHF
;"Zurich Academy of
Internal Medicine";8001 Zürich;SWITZERLAND;Grossmünsterplatz 8;;;^812.60 CHF;;;;;;3-81260 CHF
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Aggregate amount attributable to transfers of value to such Recipients Art. 3.02;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00
;Number of Recipients In aggregate disclosure - Art 3.02;;;;;0;0;0;0;0;0;;
;"% of the number of Recipients included In the aggregate disclosure In the total number of Recipients
dlscfoMd- Art. 3.02";;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;N/A
H;;;;;;;AGGREGATE DISCLOSURE;;;;;;
;Transfers of Value re Research & Development as denned - Article 3.04 and Schedule 1;;;;;;;;;;;Fm;260664.97 CHF
fatesi update: 11 December 2013 vi
EFPIA ■ Methodological Notes to be completed here ...
"Takeda Pharma AG and Takeda Pharmaceuticals International AG - HCP/HCO Transparency Disclosure Report for year 2018; Issue n.l of June 19,2019"
